,,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
131,19270409,-0.68,0.06,-0.64,-0.12,-0.03,0.07,-0.26,0.18,0.33,0.63
132,19270411,1.25,0.64,-0.14,0.08,0.82,0.04,0.06,0.21,0.73,-0.44
133,19270412,0.28,0.24,0.18,-0.38,-0.25,-0.66,-0.45,-0.19,0.24,-0.63
134,19270413,0.66,0.52,-0.15,-0.3,0.62,0.42,0.08,0.39,0.03,0.67
135,19270414,0.52,0.53,0.38,-0.22,-0.21,0.33,0.05,0.15,0.29,-0.03
136,19270416,0.93,0.56,-0.37,-0.1,0.01,0.15,0.06,0.39,0.16,0.85
137,19270418,-0.73,0.34,-0.38,-0.74,-0.02,-0.06,0.12,0.13,0.15,0.2
138,19270419,0.19,0.73,0.43,0.75,0.36,-0.11,0.15,-0.16,0.06,0.48
139,19270420,-1.01,0.02,0.51,0.66,0.41,0.26,0.55,-0.12,0.39,-0.05
140,19270421,-0.59,0.23,0.03,0.24,0.41,0.4,0.43,0.01,0.01,1.64
141,19270422,-0.98,-0.72,-0.36,0.61,-0.21,-0.11,0.33,0.07,0.37,0.24
142,19270423,-0.06,-1.08,-0.54,-0.32,-0.24,-0.35,-0.15,-0.26,-0.03,-0.94
143,19270425,-1.1,-1.26,-1.15,-1.81,-1.52,-1.07,-1.83,-1.19,-1.45,-2.76
144,19270426,0.01,0.57,0.48,0.41,0.75,0.43,0.58,0.31,0.46,1.52
145,19270427,-1.19,-2.31,-0.94,-0.47,0.06,-0.43,-0.08,-0.4,-0.04,-0.06
146,19270428,-0.36,-1.14,-0.92,-1.29,-1.3,-1.14,-0.59,-0.94,-1.45,-1.77
147,19270429,0.83,0.33,0.47,0.24,0.45,0.09,0.49,0.15,0.94,1.47
148,19270430,0.11,0.69,-0.19,0.47,-0.24,0.08,0.11,-0.17,-0.13,0.02
149,19270502,0.64,0.33,0.08,0.55,-0.02,0.31,-0.05,0.46,0.07,0.91
150,19270503,1.64,0.33,0.11,0.35,0.96,0.61,0.75,0.93,0.76,1.52
151,19270504,0.5,2.04,1.42,0.8,0.73,0.76,0.91,0.75,0.75,0.39
152,19270505,0.41,-0.17,0.89,1,0.54,0.03,0.32,-0.31,0.37,0.2
153,19270506,0.01,0.43,0.65,0.45,0.01,0.09,0.45,0.3,0.29,0.04
154,19270507,1.21,0.24,0.61,0.17,-0.03,0.32,0.25,0.47,0.29,0.38
155,19270509,-0.16,0.42,-0.33,0.08,0.21,0.38,0.27,0.49,0.72,-0.14
156,19270510,-0.28,-0.61,-0.03,-0.4,-0.04,-0.19,-0.25,0.06,0.45,-0.03
157,19270511,0.71,0.15,-0.17,0.66,-0.13,-0.06,-0.23,-0.08,-0.41,-0.73
158,19270512,-0.37,-0.05,0.25,-0.1,-0.18,-0.13,-0.36,-0.27,0.02,0.14
159,19270513,0.87,-0.34,-0.22,0.83,0.54,0.94,0.25,0.77,0.8,0.75
160,19270514,-0.33,0.27,0.15,0.4,-0.01,0.13,0.03,0.16,-0.06,-0.31
161,19270516,-1.23,-0.57,-0.79,-0.53,-0.26,-0.88,-0.49,-0.94,-0.82,-1.11
162,19270517,0.51,0.17,-0.31,0.36,0.27,0.73,0.42,0.52,0.87,1.13
163,19270518,0.53,0.17,0.07,-0.15,-0.02,0.43,0.3,0.58,0.89,1.99
164,19270519,0.19,-0.04,-0.29,0.45,-0.15,0.71,0.2,0.32,0.46,0.02
165,19270520,1.57,1.11,0.28,0.71,0.31,0.29,0.56,0.62,0.71,0.14
166,19270521,-0.16,0.88,0.26,0.46,0.37,0,0.2,0.4,0.3,0.23
167,19270523,-0.57,-0.47,0.04,-0.35,0.06,0.02,0.12,0.29,0.19,0.74
168,19270524,-0.56,-0.23,-0.2,-0.14,0.13,-0.18,0.28,-0.21,-0.39,-0.37
169,19270525,0.12,-0.08,0.03,-0.24,0.05,0.46,-0.17,0.45,0.1,0.78
170,19270526,-0.95,0.69,0.57,0.46,0.28,0.37,0.21,-0.06,-0.04,-0.64
171,19270527,0.35,0.52,-0.11,0.53,0.3,0.53,0.65,0.33,0.52,0.56
172,19270528,1.16,-0.04,0.08,0.13,0.05,0.22,0.06,0.26,-0.13,0.38
173,19270531,-0.88,-0.31,0.09,0.32,0.29,0.7,0.03,0.46,0.18,0.63
174,19270601,-0.64,-0.36,0.12,0.1,0.19,0.4,0.34,0.34,0.75,0.59
175,19270602,0.1,-0.6,0.16,0.11,-0.06,-0.01,0.02,0.18,0.22,0.43
176,19270603,-1.63,-0.68,-0.33,-0.98,-0.64,-1.01,-0.76,-1.24,-1,-1.26
177,19270604,-0.03,0.38,0.04,0.21,0.32,0.43,0.42,0.76,0.59,0.39
178,19270606,-1.07,0.77,0.14,0.24,0.76,0.44,0.54,0.57,0.62,1.32
179,19270607,-0.04,0,-0.26,-0.02,-0.28,-0.69,-0.29,-0.53,-0.29,-0.25
180,19270608,-0.94,1.37,0.56,0.6,0.13,0,0.21,0.19,0.31,0.25
181,19270609,-0.79,1.09,-0.05,0.51,-0.14,-0.13,-0.23,-0.09,0.05,0.06
182,19270610,-0.71,-0.62,-0.01,-0.37,-0.21,-0.42,-0.53,-0.37,-0.14,-0.53
183,19270611,-0.61,0.53,-0.22,-0.12,-0.19,-0.05,-0.08,0.04,-0.11,-0.13
184,19270614,-0.97,-0.75,-1.5,-1.45,-1.26,-1.18,-1.11,-1.68,-1.94,-2.69
185,19270615,1.24,1.16,0.17,0.75,1.08,1.25,0.33,1.31,1.24,1.49
186,19270616,1,0.27,-0.01,0.26,0.73,0.33,0.5,0.54,1.62,0.78
187,19270617,-0.36,0.25,0.31,0.94,-0.13,-0.14,0.36,0.33,0.04,-0.09
188,19270618,0.17,0.02,-0.05,-0.3,-0.18,-0.01,-0.11,-0.21,-0.15,0.33
189,19270620,-0.34,-0.04,-0.15,-0.27,-0.21,-0.15,-0.19,-0.02,-0.26,-0.28
190,19270621,-1.41,0.26,-0.65,-0.35,-0.07,-0.36,-0.27,-0.49,-0.18,-0.44
191,19270622,0.7,-0.63,-0.14,-0.36,0.18,0.1,-0.1,0.32,0.13,0.22
192,19270623,-1.89,-1.19,-0.92,-0.94,-0.86,-0.56,-0.58,-0.76,-1.07,-1.71
193,19270624,-0.29,0.14,0.02,0.13,-0.01,0.34,0.14,0.21,0.02,0.41
194,19270625,0.63,-0.64,-0.6,-0.34,-0.07,0,0.03,0.12,0.08,0.01
195,19270627,-2.42,-1.53,-0.86,-1.1,-1.17,-0.91,-1.05,-1.2,-1.77,-1.94
196,19270628,-0.03,0.72,0.66,0.4,0.19,0.13,0.04,0.22,0.89,-0.33
197,19270629,-0.06,-0.17,-0.05,-0.14,0.05,-0.05,0.24,-0.09,-0.32,0.65
198,19270630,-0.91,-0.44,-0.2,-0.2,0.28,-0.05,0.05,0.03,-0.05,-0.75
199,19270701,1.35,0.43,0.5,0.4,0.47,0.62,0.8,0.68,0.83,0.98
200,19270702,0.7,0.74,0.67,0.18,0.33,0.47,0.59,0.49,1.06,0.7
201,19270705,0.22,0.75,0.29,0.62,0.92,0.77,0.82,1.19,1.2,1.23
202,19270706,0.79,0.84,0.92,0.89,0.51,0.54,0.25,0.88,0.67,0.6
203,19270707,-2.1,-0.54,-0.28,-0.35,-0.15,0,-0.27,-0.27,-0.45,-0.32
204,19270708,-1.47,-0.83,-0.6,-0.06,-0.01,0.07,-0.03,0.08,0.27,-0.69
205,19270709,0.5,0.6,0.48,0.15,0.24,0.03,-0.04,0.31,0.5,0.05
206,19270711,0.04,-0.4,0.32,0.08,0.71,0.63,0.46,0.84,0.41,0.12
207,19270712,0.09,0.52,0.09,0.2,1.02,0.43,0.6,0.19,-0.17,0.39
208,19270713,0.57,-0.28,-0.02,0.29,0.17,0.69,0.46,0.14,0.15,0.13
209,19270714,1.11,0.14,0.23,0.07,0.38,0.41,0.1,1.45,0.69,0.63
210,19270715,0.78,0.19,0.56,0.21,0.09,0.31,0.07,0.01,0.51,0.36
211,19270716,1.28,1.26,0.29,0.28,0.17,-0.03,0.15,-0.02,0.08,0.17
212,19270718,0.09,0.44,0.24,-0.04,0.54,-0.05,0.22,0.39,0.27,-0.04
213,19270719,0.31,-0.29,0.47,0.8,-0.07,-0.04,0.36,0.41,0.11,0.79
214,19270720,0.43,-0.57,-0.22,0.37,0.62,0.36,0.15,0.03,1.2,2.07
215,19270721,0.34,-0.76,-0.28,0.27,-0.05,0.05,-0.12,0.13,0.12,-0.08
216,19270722,-0.16,0.01,0.24,-0.08,0.04,-0.07,0.1,-0.16,-0.24,-0.39
217,19270723,0.56,0.66,-0.02,-0.08,0.1,0.23,0.03,0.45,0.27,0.77
218,19270725,0.24,-0.04,-0.02,0.46,0.53,0.32,0.37,0.86,0.18,0.69
219,19270726,-0.57,0.62,0.11,0.02,0.55,0.25,-0.01,0.83,0,0.36
220,19270727,-1.04,0.07,0.14,-0.02,-0.11,0.29,0.12,0.32,-0.28,-0.19
221,19270728,-0.29,-0.09,-0.18,0.55,-0.22,0.55,0.27,0.23,-0.57,0.91
222,19270729,-0.37,0.33,-0.3,1.64,0.26,0.46,0.16,0.22,1.04,0.22
223,19270730,1.02,0.37,0.37,0.39,0.69,0.34,0.91,0.4,0.47,0.98
224,19270801,-1.25,0.07,0.1,0.3,0.87,0.48,0.35,0.98,0.81,1.41
225,19270802,1.38,0.18,0.78,0.41,0.77,0.45,1.06,0.69,0.58,0.79
226,19270803,0.99,1.09,-0.33,-0.16,-0.68,-0.93,-0.59,-1.11,-0.88,-0.7
227,19270804,1.01,2.92,1.8,1.5,0.87,0.44,0.59,0.82,0.76,0.56
228,19270805,0.76,-0.75,-0.14,-0.52,-0.24,-0.52,-0.73,-0.55,-1.22,-1.67
229,19270806,0.75,0.13,-0.43,-0.12,-0.16,0.05,-0.13,-0.31,0.09,-0.08
230,19270808,-1.14,-0.37,-0.64,-0.78,-0.96,-0.95,-1.09,-1.48,-1.42,-2.11
231,19270809,-0.11,0.74,0.86,0.74,0.76,0.88,0.93,1.15,1.31,1.54
232,19270810,0.19,-0.96,-0.11,0.84,0.27,0.36,0.06,0.73,0,0.14
233,19270811,-0.18,-0.66,-0.68,-0.45,-1.01,-0.72,-0.76,-1.57,-1.23,-3.29
234,19270812,-1.77,-1.36,-0.95,-1.17,-1.62,-1.36,-1.29,-1.98,-1.84,-3.6
235,19270813,0.42,0.92,0.42,0.68,0.87,0.66,1.03,0.91,1.3,1.61
236,19270815,1.29,1.54,0.92,0.94,1.1,1.17,1.49,1.69,1.49,1.61
237,19270816,0.21,0.7,0.19,0.2,0.61,0.74,0.67,1.2,0.53,1.3
238,19270817,1.6,-0.14,0.46,0.64,0.28,0.12,0.66,0.55,0.07,0.73
239,19270818,0.4,-0.14,0.41,0.24,-0.11,0.07,0.03,-0.2,-0.11,-0.2
240,19270819,-1.66,-0.42,-0.28,0.18,-0.17,0.01,-0.1,0.17,1.11,-0.06
241,19270820,0.52,0.08,-0.12,0.44,0.15,0.12,0.11,0.24,1.02,1.26
242,19270822,-0.18,-0.6,0,0.16,0.56,0.6,0.52,0.44,0.49,0.53
243,19270823,-0.93,-0.58,0.18,0.14,0.27,0.04,-0.04,0.38,-0.08,0.04
244,19270824,-0.86,-0.76,-0.09,0.14,0.2,0.14,0.23,0.23,0.91,0.05
245,19270825,-0.29,-0.43,-0.4,-0.25,-0.17,-0.16,-0.06,0.13,0.62,0.25
246,19270826,-0.37,-0.48,-0.19,-0.14,-0.07,0.34,0.21,0.34,1.13,-0.29
247,19270827,-0.25,-0.31,-0.28,-0.02,-0.28,-0.18,-0.5,0.08,0.18,0.43
248,19270829,-1.11,-0.5,-0.63,0.17,-0.12,-0.03,-0.17,0.5,0.12,0.17
249,19270830,-0.12,0.03,-0.13,0.04,-0.33,-0.16,-0.32,0.54,0.24,0.03
250,19270831,-0.14,-0.63,-0.35,-0.23,-0.57,-0.2,-0.85,-0.6,-0.59,-1.16
251,19270901,1.14,1.27,0.59,0.81,0.79,0.57,0.79,1.04,0.98,1.46
252,19270902,-0.07,-0.04,0.06,1.16,0.84,0.48,0.77,0.71,0.55,0.82
253,19270903,1.28,0.31,0.55,0.45,0.45,0.43,0.26,0.33,0.93,0.51
254,19270906,0.58,0.75,0.04,0.31,0.8,0.66,1.56,1.45,1.36,0.99
255,19270907,1.45,0.25,0.15,-0.13,0.92,0.37,0.44,0.85,0.45,0.31
256,19270908,-0.16,0.41,0.7,0.22,-0.26,0.14,0.16,-0.23,-0.55,0.05
257,19270909,0.06,-0.4,0.23,-0.63,-0.41,-0.42,-0.8,-0.81,-1.13,-0.94
258,19270910,1.29,0.63,0.2,0.36,0.52,0.31,0.33,0.8,0.31,1.01
259,19270912,-1.33,0.19,0.44,-0.39,-0.35,-0.14,-0.84,-0.67,-0.46,-0.77
260,19270913,1.31,0.51,0.67,0.57,1.29,1.81,0.87,1,1.71,1.62
261,19270914,-0.97,-0.75,0.04,-0.17,0.13,0.01,0.49,0.08,1.19,1.4
262,19270915,-0.53,-0.28,-0.68,-0.01,-0.35,-0.21,0.72,0.91,1.02,0.32
263,19270916,-0.65,-0.35,-0.25,0.07,0.67,-0.29,-0.32,0.18,-0.44,1.62
264,19270917,-0.88,-0.12,-0.32,0.15,0.06,-0.35,-0.09,-0.26,-0.58,-0.67
265,19270919,-0.02,-0.03,0.12,-0.64,0.11,-0.49,-0.5,-0.45,-0.8,0.06
266,19270920,0.69,0.67,0.64,0.06,0.41,0.87,0.6,0.65,0.49,-0.09
267,19270921,0.39,0.37,0.21,0.28,0.12,-0.17,-0.23,-0.11,0.01,-1.06
268,19270922,-1.02,-1.58,-0.89,-0.98,-1.03,-1.01,-1,-1.43,-1.7,-1.15
269,19270923,-0.04,-0.14,0.34,0.05,0.7,0.28,0.42,0.55,1.16,0.82
270,19270924,0.03,0.26,0.72,0.76,0.25,0.47,0.69,0.77,0.52,1.45
271,19270926,-1.11,-0.39,-0.8,-0.84,-0.29,-0.48,-0.64,-1.28,-1.18,-2.37
272,19270927,-0.58,0.08,-0.34,0.21,0.15,0.31,0.04,0.02,0.16,0.6
273,19270928,-0.66,-0.05,0.11,-0.21,-0.01,0.01,-0.41,-0.4,-0.4,-1.52
274,19270929,-0.52,0.12,-0.21,0.04,0.01,0.15,0.21,0.49,0.14,0.39
275,19270930,0.92,0.61,0.31,0.73,1.16,1.09,1.51,1.31,1.38,2.08
276,19271001,-0.45,0.12,0.18,0.18,0.37,0.34,0.18,0.57,0.4,0.84
277,19271003,0.4,-0.38,-0.04,0.21,0.38,1.19,0.95,0.38,-0.05,-0.07
